"","NAME","COURT","JUDICIAL POSITION","COURT ADDRESS","SIGNED DATE","EXCESS EXPENSE REIMBURSEMENT INSTANCE","EXCESS EXPENSE REIMBURSEMENT SOURCE","EXCESS EXPENSE REIMBURSEMENT AMOUNT","year"
"21","JUDD J. CARHART","MASS APPEALS COURT","JUDGE","ONE PEMBERTON SQUARE","MAR/17/2015",NA,NA,NA,2014
"22","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"23","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"24","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"25","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"26","ELSPETH B. CYPHER","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
"27","FRANCIS R. FECTEAU","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/06/2015",NA,NA,NA,2014
"28","ROBERT M. GRAHAM","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/10/2015",NA,NA,NA,2014
"29","ANDREW GRAINGER","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/03/2015",NA,NA,NA,2014
"30","ANDREW GRAINGER","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/03/2015",NA,NA,NA,2014
"31","JOSEPH A. GRASSO, JR.","MASS APPEALS COURT","JUSTICE","ONE PEMBERTON SQUARE","MAR/12/2015",NA,NA,NA,2014
"32","JOSEPH A. GRASSO, JR.","MASS APPEALS COURT","JUSTICE","ONE PEMBERTON SQUARE","MAR/12/2015",NA,NA,NA,2014
"33","MARK V. GREEN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/31/2015",NA,NA,NA,2014
"34","SYDNEY HANLON","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
"35","SYDNEY HANLON","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
