,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,"GIFTS, BEQUESTS,FAVORS OR LOANS TYPE","GIFTS, BEQUESTS,FAVORS OR LOANS DONER OR LENDER","GIFTS, BEQUESTS,FAVORS OR LOANS ESTIMATED VALUE",year
81,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/20,NA,NA,NA,2009
82,ROYA S. DREBEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/19,NA,NA,NA,2009
83,FRANCIS R. FECTEAU,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/15,NA,NA,NA,2009
84,HOU. AUDRE A. GELCUAS,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2009/4/30,NA,NA,NA,2009
85,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/1,NA,NA,NA,2009
86,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/3/1,NA,NA,NA,2009
87,MARK V. GREEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/1,"MOVING SERVICES APRIL 17, 2009","UNION INSTALLATIONS, INC.",750,2009
88,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/4/14,NA,NA,NA,2009
89,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/3/3,NA,NA,NA,2009
90,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/6,NA,NA,NA,2009
91,BARBARA A. LENK,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/13,SUBSCRIPTION TO LAWYERS WEEKLY,BROWN RUNNICK,350,2009
92,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/12,NA,NA,NA,2009
93,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2010/4/15,NA,NA,NA,2009
94,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/15,NA,NA,NA,2009
95,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/28,NA,NA,NA,2009
96,RENT B. SMITH,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/5,NA,NA,NA,2009
97,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/23,NA,NA,NA,2009
98,GABRIELLE R. WOLOHOJIAN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/1,NA,NA,NA,2009
99,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/3/8,CELTIC TICKETS,NEW ENGLAND LAW,350,2010
100,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2011/4/11,HONORARUM,NEW YORK UNIVERSITY,1800,2010
