,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,TOTAL AMOUNT RECEIVED (IN DOLLARS),EXTRA-JUDICIAL SERVICES DATE,PLACE,EXTRA-JUDICIAL SERVICES NATURE,EXTRA-JUDICIAL SERVICES PAYOR, AMOUNT,year
239,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/2/3,24114.74,SEP-DEC,SULLFOLK LAW SCHOOL,TEACHING,SUFFOLK UNIV.,8400,2013
240,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/4/11,12150,AUG-DEC,NEW ENGLAND SCHOOL OF LAW,TEACHING,NEW ENGLAND SCHOOL OF LAW,4800,2013
241,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/4/11,12150,JAN- JUL,BROOKLINE,ROOM RENTING,EDWARD KIM,4550,2013
242,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/4/11,12150,MAR-APR,BROOKLINE,ROOM RENTING,KATJA KLEISTRAUBER,1400,2013
243,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/4/11,12150,NOV,BROOKLINE,ROOM RENTING,WENHUI YI YU,700,2013
244,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/4/10,5000,JAN-MAY 13,BOSTON COLLEGE LAW SCHOOL,TEACHING,B.C. ,5000,2013
245,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/3/4,10839.23,NA,NA,ROYALTY,THOMSON REUTERS,1255.86,2013
246,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/3/4,10839.23,NA,NA,TEACHING,NEU,9583.37,2013
247,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2014/3/19,NA,NA,NA,NA,NA,NA,2013
248,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2014/4/12,1000,39840,US/SWITZERLAND,PRESIDENTIAL STIPEND,199F,1000,2013
249,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2014/1/28,NA,NA,NA,NA,NA,NA,2013
250,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2014/3/2,6500,8/13-12/13,MASS. SCHOOL OF LAW,LAW COURSE,MASS. SCHOOL OF LAW,6500,2013
251,GABRIELLE R. WOLOHOJIAN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2014/1/13,NA,NA,NA,NA,NA,NA,2013
