,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,TOTAL AMOUNT RECEIVED (IN DOLLARS),EXTRA-JUDICIAL SERVICES DATE,PLACE,EXTRA-JUDICIAL SERVICES NATURE,EXTRA-JUDICIAL SERVICES PAYOR, AMOUNT,year
44,R. MARC KANTRWITZ,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/23/2015,11802.51,NA,NA,ROYALTY,WEST,969.19,2014
45,R. MARC KANTRWITZ,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/23/2015,NA,NA,NA,TEACHING,NORTHEASTERN SCHOOL OF LAW,10833.32,2014
46,GARY S. KATZMANN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/10/2015,3600,JUL/13-18/2014,"NEW YORK, NY",FACULTY MEMBER,NYU LAW SCHOOL,1800,2014
47,GARY S. KATZMANN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/10/2015,NA,JUL/14-19/2013,"NEW YORK, NY",FACULTY MEMBER,NYU LAW SCHOOL,1800,2014
48,DIANA L. MALDONADO,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/28/2015,NA,NA,NA,NA,NA,NA,2014
49,GREGORY I. MASSING,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/03/2015,6900,SEPT -DEC/2014,SUFFOLK LAW SCHOOL,ADJUNCT PROFESSOR,SUFFOLK UNIV.,6900,2014
50,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,JAN/29/2015,NA,NA,NA,NA,NA,NA,2014
51,JAMES R. MILKEY,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/12/2015,NA,NA,NA,NA,NA,NA,2014
52,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,ONE PEMBERTON SQUARE,APR/01/2015,4353.6,JUN/06/2014,US / SWIZERLAND,PRESIDENTIAL STIPEND,IPPF,4353.6,2014
53,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,ONE PEMBERTON SQUARE,APR/01/2015,NA,NA,NA,NA,NA,NA,2014
54,PETER J. RUBIN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,23675,JAN/01/2014-JUN/30/2014,HARVARD UNIV.,TEACHING,HARVARD UNIV.,23675,2014
55,PETER J. RUBIN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
56,PETER J. RUBIN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
57,PETER J. RUBIN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
58,"MITCHEL J. SIKORA, JR.",MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/09/2015,NA,NA,NA,NA,NA,NA,2014
59,"MITCHEL J. SIKORA, JR.",MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/09/2015,NA,NA,NA,NA,NA,NA,2014
60,"MITCHEL J. SIKORA, JR.",MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/09/2015,NA,NA,NA,NA,NA,NA,2014
